symbol,side,entry_price,exit_price,entry_time,exit_time,quantity,leverage,pnl,roi,reason,duration,signal_strength,balance_after
WLFIUSDTUSDT,SHORT,0.1258,0.1261774,2025-11-03 06:00:00,2025-11-03 06:03:00,13248.542660307368,75,-5.668666666666667,-25.508999999999997,Hard Stop Loss,0 days 00:03:00,82,93.66466666666668
ETHUSDTUSDT,SHORT,3720.63,3708.84,2025-11-03 06:30:00,2025-11-03 06:41:00,0.2769185146959975,50,2.8540507026477586,13.850428556454098,Trailing TP (Max 0.5%),0 days 00:11:00,82,64.26060616931323
ADAUSDTUSDT,SHORT,0.5704,0.5677,2025-11-03 06:45:00,2025-11-03 06:48:00,1877.64744534001,75,4.643271920530285,32.515603085554474,Trailing TP (Max 0.8%),0 days 00:03:00,75,68.47547404871474
BTCUSDTUSDT,SHORT,107374.1,107385.3,2025-11-03 06:15:00,2025-11-03 07:01:00,0.014538680908876864,50,-0.7873294705809845,-2.5217496584370482,Time Stop (46min),0 days 00:46:00,82,98.90970013369046
ADAUSDTUSDT,SHORT,0.5801,0.5818402999999999,2025-11-03 09:00:00,2025-11-03 09:03:00,2841.74280680616,75,-5.606861201578499,-25.508999999998927,Hard Stop Loss,0 days 00:03:00,77,92.64344093122067
XRPUSDTUSDT,SHORT,2.412,2.3989,2025-11-03 09:30:00,2025-11-03 09:58:00,422.50325466146,100,5.129375413022223,50.33349917081307,Trailing TP (Max 0.7%),0 days 00:28:00,70,54.296937684588414
BTCUSDTUSDT,SHORT,107700.0,107295.2,2025-11-03 09:15:00,2025-11-03 10:02:00,0.014336651335689133,50,5.18817491172979,16.8004605385331,Trailing TP (Max 0.6%),0 days 00:47:00,70,90.3662595733926
ADAUSDTUSDT,SHORT,0.5771,0.5756,2025-11-03 09:45:00,2025-11-03 10:05:00,1459.7776633764586,75,1.853567285848813,16.50181944203707,Trailing TP (Max 0.5%),0 days 00:20:00,72,103.4523293863688
ETHUSDTUSDT,SHORT,3724.94,3715.98,2025-11-03 15:00:00,2025-11-03 15:08:00,0.46288141279399286,50,3.4593942297085043,10.03185017745257,Trailing TP (Max 0.5%),0 days 00:08:00,80,106.22204142016817
BTCUSDTUSDT,SHORT,105500.0,105816.49999999999,2025-11-03 15:30:00,2025-11-03 15:31:00,0.0167807332417335,50,-6.021373454637966,-17.00599999999931,Hard Stop Loss,0 days 00:01:00,77,99.49252102272905
ETHUSDTUSDT,SHORT,3599.28,3592.54,2025-11-03 15:45:00,2025-11-03 15:50:00,0.4607056643862643,50,2.4431147669498388,7.366728901336152,Trailing TP (Max 0.5%),0 days 00:05:00,80,101.272352316194
DOGEUSDTUSDT,SHORT,0.16152,0.16200456,2025-11-04 06:00:00,2025-11-04 06:02:00,10449.929040386645,75,-5.740792078297325,-25.50899999999977,Hard Stop Loss,0 days 00:02:00,80,94.85641122245538
MYXUSDTUSDT,SHORT,1.823,1.822,2025-11-04 06:15:00,2025-11-04 06:17:00,468.2982452013705,10,0.12700248409856008,0.14876577070756436,Trailing TP (Max 0.6%),0 days 00:02:00,85,94.6419306261531
ETHUSDTUSDT,SHORT,3507.37,3490.2,2025-11-04 06:45:00,2025-11-04 07:04:00,0.29682104736247394,50,4.682031455411897,22.486820609174497,Trailing TP (Max 0.8%),0 days 00:19:00,82,66.72928117391663
BTCUSDTUSDT,SHORT,104850.1,104452.7,2025-11-04 06:30:00,2025-11-04 07:31:00,0.015044005780022573,50,5.349933087965517,16.958444484078157,Trailing TP (Max 0.5%),0 days 01:01:00,82,103.62652447060105
DOGEUSDTUSDT,SHORT,0.16403,0.16452208999999998,2025-11-04 09:15:00,2025-11-04 09:16:00,6949.2883568655525,75,-3.8769998853234555,-25.508999999998753,Hard Stop Loss,0 days 00:01:00,80,64.06054955760149
1000PEPEUSDTUSDT,SHORT,0.0056805,0.0056556,2025-11-04 09:30:00,2025-11-04 09:36:00,187954.5508247613,75,4.254870012478668,29.888777396355394,Trailing TP (Max 0.6%),0 days 00:06:00,72,67.88834923969614
XRPUSDTUSDT,SHORT,2.2575,2.2642724999999997,2025-11-04 09:45:00,2025-11-04 09:59:00,501.20597445328656,100,-3.848364223900919,-34.011999999999325,Hard Stop Loss,0 days 00:14:00,80,63.587396020863906
BTCUSDTUSDT,SHORT,104027.2,104105.2,2025-11-04 09:00:00,2025-11-04 11:07:00,0.016602472633856696,50,-1.9863543590576935,-5.750519095005922,Time Stop (127min),0 days 02:07:00,75,96.14321648534096
BTCUSDTUSDT,SHORT,104456.1,104769.4683,2025-11-04 15:00:00,2025-11-04 15:02:00,0.015340290719473673,50,-5.45003846516572,-17.005999999999393,Hard Stop Loss,0 days 00:02:00,85,90.05222324360628
BTCUSDTUSDT,SHORT,104156.0,104468.468,2025-11-04 15:15:00,2025-11-04 15:19:00,0.014409831285700963,50,-5.104760361602574,-17.005999999999688,Hard Stop Loss,0 days 00:04:00,80,84.34711472704632
BTCUSDTUSDT,SHORT,104320.0,103889.2,2025-11-04 15:30:00,2025-11-04 15:46:00,0.013475702122802998,50,5.245340509313048,18.65626533742345,Trailing TP (Max 0.6%),0 days 00:16:00,80,76.28810367341313
1000PEPEUSDTUSDT,SHORT,0.0057124,0.0056737,2025-11-04 15:45:00,2025-11-04 15:52:00,162421.7950419296,75,5.91711045271092,47.83084167775368,Trailing TP (Max 0.9%),0 days 00:07:00,82,94.57612428609097
BTCUSDTUSDT,SHORT,101518.4,101822.95519999998,2025-11-05 06:15:00,2025-11-05 06:19:00,0.01552692652860544,50,-5.361205232030902,-17.005999999999407,Hard Stop Loss,0 days 00:04:00,80,88.58441155881944
BTCUSDTUSDT,SHORT,101883.2,101891.0,2025-11-05 06:30:00,2025-11-05 07:40:00,0.014491170863436828,50,-0.7036390889134262,-2.382944391224604,Time Stop (70min),0 days 01:10:00,80,87.29020972618054
AVNTUSDTUSDT,SHORT,0.519,0.5205569999999999,2025-11-05 09:00:00,2025-11-05 09:04:00,2803.153812658479,75,-4.948191022011451,-25.50899999999884,Hard Stop Loss,0 days 00:04:00,77,81.76008397266119
BCHUSDTUSDT,SHORT,482.33,483.77698999999996,2025-11-05 09:15:00,2025-11-05 09:18:00,2.8251779201191036,75,-4.634706626796932,-25.50899999999955,Hard Stop Loss,0 days 00:03:00,72,76.58031011937985
ENAUSDTUSDT,SHORT,0.3184,0.3174,2025-11-05 09:45:00,2025-11-05 10:14:00,2645.676543069009,75,2.30978144916097,20.564698492462334,Trailing TP (Max 0.6%),0 days 00:29:00,80,52.51583276342548
ETHUSDTUSDT,SHORT,3303.9,3292.55,2025-11-05 09:30:00,2025-11-05 10:17:00,0.3863126916643084,50,3.875867509214138,15.183540664063544,Trailing TP (Max 0.5%),0 days 00:47:00,80,81.91847031243378
ZECUSDTUSDT,LONG,464.5,469.33,2025-11-05 15:00:00,2025-11-05 15:01:00,2.9393064338870745,75,13.645048200228034,74.95588805166821,Trailing TP (Max 1.6%),0 days 00:01:00,80,95.0173953772456
ZECUSDTUSDT,LONG,475.58,474.15326,2025-11-05 15:15:00,2025-11-05 15:18:00,3.3298777414681697,75,-5.3824187234697085,-25.49099999999993,Hard Stop Loss,0 days 00:03:00,80,89.00152735126092
FILUSDTUSDT,SHORT,1.364,1.3680919999999999,2025-11-05 15:45:00,2025-11-05 15:46:00,1087.506443686047,75,-5.045199913785178,-25.508999999998693,Hard Stop Loss,0 days 00:01:00,72,83.36298392180063
SOLUSDTUSDT,SHORT,159.18,159.65753999999998,2025-11-06 06:00:00,2025-11-06 06:18:00,8.728377091113286,100,-4.725569681913833,-34.01199999999851,Hard Stop Loss,0 days 00:18:00,70,62.308149448566866
SOLUSDTUSDT,SHORT,159.89,159.32,2025-11-06 06:30:00,2025-11-06 06:34:00,6.494897476241033,100,3.288184735091456,31.663768841077815,Trailing TP (Max 0.6%),0 days 00:04:00,70,65.18094652066785
DOGEUSDTUSDT,SHORT,0.16417,0.16347,2025-11-06 06:15:00,2025-11-06 07:00:00,6996.142214576841,75,4.439835803077082,28.991837729183445,Trailing TP (Max 0.6%),0 days 00:45:00,82,73.63684049172325
SOLUSDTUSDT,SHORT,159.34,158.39,2025-11-06 06:45:00,2025-11-06 07:20:00,6.8178053764141335,100,6.044966230165449,55.64478473704136,Trailing TP (Max 0.8%),0 days 00:35:00,82,90.54529780866697
SOLUSDTUSDT,SHORT,159.32,159.79796,2025-11-06 09:30:00,2025-11-06 09:40:00,4.12602850923243,100,-2.2358089617435892,-34.01199999999975,Hard Stop Loss,0 days 00:10:00,80,36.94277921887436
SOLUSDTUSDT,SHORT,159.31,158.01,2025-11-06 09:45:00,2025-11-06 10:07:00,3.864873435322684,100,4.780060005313398,77.63454899253101,Trailing TP (Max 1.0%),0 days 00:22:00,70,41.47655402939525
BTCUSDTUSDT,SHORT,103214.4,102777.9,2025-11-06 09:00:00,2025-11-06 10:10:00,0.014620908485745774,50,5.780944045925178,19.153763428358836,Trailing TP (Max 0.6%),0 days 01:10:00,85,77.4392640115436
ETHUSDTUSDT,SHORT,3390.67,3374.63,2025-11-06 09:15:00,2025-11-06 10:10:00,0.2937467450077255,50,4.315183158681738,21.662603556229243,Trailing TP (Max 0.8%),0 days 00:55:00,80,101.67441268813224
BTCUSDTUSDT,SHORT,101999.8,102305.79939999999,2025-11-06 15:00:00,2025-11-06 15:06:00,0.01661349870100021,50,-5.763583540581287,-17.005999999999315,Hard Stop Loss,0 days 00:06:00,77,95.23299972963004
ETHUSDTUSDT,SHORT,3338.84,3348.85652,2025-11-06 15:15:00,2025-11-06 15:19:00,0.4753796714309618,50,-5.398441311340315,-17.005999999999506,Hard Stop Loss,0 days 00:04:00,80,89.1996717534255
ETHUSDTUSDT,SHORT,3338.41,3320.27,2025-11-06 15:30:00,2025-11-06 15:38:00,0.4453201361997168,50,7.486674035214872,25.17948963728223,Trailing TP (Max 0.7%),0 days 00:08:00,72,96.09168131028417
BTCUSDTUSDT,SHORT,101927.8,102233.58339999999,2025-11-06 15:45:00,2025-11-06 16:05:00,0.015712377014299776,50,-5.447117107875673,-17.005999999999297,Hard Stop Loss,0 days 00:20:00,72,90.00395299367324
ZECUSDTUSDT,LONG,590.52,588.74844,2025-11-07 06:15:00,2025-11-07 06:17:00,2.099936434783524,75,-4.214697110436331,-25.491000000000284,Hard Stop Loss,0 days 00:02:00,82,69.69254891227925
ZECUSDTUSDT,LONG,591.92,590.14424,2025-11-07 06:30:00,2025-11-07 06:31:00,1.962330182915473,75,-3.9478505873842478,-25.490999999999893,Hard Stop Loss,0 days 00:01:00,82,65.28008133214648
XRPUSDTUSDT,SHORT,2.2347,2.2258,2025-11-07 06:00:00,2025-11-07 07:02:00,671.260519634812,100,5.376581958908648,35.84230545487148,Trailing TP (Max 0.6%),0 days 01:02:00,80,85.65732212333427
ZECUSDTUSDT,LONG,626.15,627.6,2025-11-07 09:00:00,2025-11-07 09:06:00,2.280000056518201,75,2.7336288677631657,14.361095584125753,Trailing TP (Max 0.6%),0 days 00:06:00,85,87.81990217694188
XRPUSDTUSDT,SHORT,2.213,2.1995,2025-11-07 09:15:00,2025-11-07 09:30:00,661.3940516413918,100,8.346925210524738,57.02756439222806,Trailing TP (Max 0.8%),0 days 00:15:00,72,95.58136137295367
FILUSDTUSDT,LONG,2.217,2.251,2025-11-07 09:45:00,2025-11-07 09:46:00,474.2422079848576,75,15.697227387415502,111.97428958051357,Trailing TP (Max 2.0%),0 days 00:01:00,85,78.36036790352203
BTCUSDTUSDT,SHORT,101005.9,100018.0,2025-11-07 09:30:00,2025-11-07 11:16:00,0.01577158056657405,50,14.949767663675368,46.92264511280996,Trailing TP (Max 1.1%),0 days 01:46:00,72,125.17058935818383
